scenario,segment,model,station_id,n,mae,rmse,mean_true,mean_pred
events_only,weekend,Ridge,65,216,1.3172943529731416,1.5374423247138935,0.7592592592592593,1.8538458294338982
events_only,weekend,Ridge,100,216,1.3172673442125358,1.6413596610082792,1.1759259259259258,1.8792639435478857
events_only,weekend,Ridge,91,216,1.3140774377974236,1.6024766787494908,1.6435185185185186,2.2583571292895974
events_only,weekend,Ridge,115,216,1.313633667475442,1.6973924121104287,1.6666666666666667,2.174077089567892
events_only,weekend,Ridge,38,216,1.3122699271103198,1.578131007313339,1.5138888888888888,2.3233126960459587
events_only,weekend,Ridge,25,216,1.311244734359946,1.457807740654259,0.32407407407407407,1.5949998330814876
events_only,weekend,Ridge,71,216,1.3067070236939617,1.5618527498650048,1.2824074074074074,2.0210285736602733
events_only,weekend,Ridge,92,216,1.2883281289674726,1.5935089262704005,0.9212962962962963,1.7032614187604116
events_only,weekend,Ridge,37,216,1.2870039705640206,1.4381740992804062,0.4074074074074074,1.5633231353161494
events_only,weekend,Ridge,36,216,1.2817055177648948,1.4860467584252697,0.6435185185185185,1.7668886551297212
events_only,weekend,Ridge,17,216,1.2801032917870871,1.5419574538737124,0.9629629629629629,1.9726887977728245
events_only,weekend,Ridge,61,216,1.2789202112033256,1.4346168835089952,0.2916666666666667,1.5221341728260833
events_only,weekend,Ridge,47,216,1.2753971874869192,1.4162676040176274,0.35648148148148145,1.5618003397700506
events_only,weekend,Ridge,59,216,1.2721305911342706,1.4250797574220655,0.37962962962962965,1.5838075229088622
events_only,weekend,Ridge,53,216,1.2640537185645704,1.3948652362013645,0.23148148148148148,1.422649263663909
events_only,weekend,Ridge,41,216,1.2639981542681389,1.4219212164960187,0.3472222222222222,1.521722561934406
events_only,weekend,Ridge,86,216,1.262803210019313,1.6215202811889624,1.3009259259259258,1.9439043977335564
events_only,weekend,Ridge,51,216,1.256160557410618,1.3996696222166576,0.4212962962962963,1.5167024484218876
events_only,weekend,Ridge,62,216,1.2486933234509865,1.4476438402030536,0.8101851851851852,1.8392009536831166
events_only,weekend,Ridge,55,216,1.2486659170058783,1.3759459495584063,0.16666666666666666,1.3764439997221483
events_only,weekend,Ridge,50,216,1.2431052917124645,1.4772998737665306,1.5046296296296295,2.2009309345084094
events_only,weekend,Ridge,54,216,1.232070301891844,1.4219285735274405,0.6111111111111112,1.6306781510334578
events_only,weekend,Ridge,111,216,1.227228107298836,1.4632094824654893,0.875,1.7548451317284133
events_only,weekend,Ridge,73,216,1.217221749731215,1.4915136701965994,1.3101851851851851,1.9766256320081785
events_only,weekend,Ridge,57,216,1.2150631242939713,1.3672795469523549,0.39814814814814814,1.5646015180357977
events_only,weekend,Ridge,78,216,1.210879971212087,1.400096298443624,0.49074074074074076,1.605278516817214
events_only,weekend,Ridge,79,216,1.2103909185949533,1.3558635386999374,0.2361111111111111,1.411716322187244
events_only,weekend,Ridge,72,216,1.2053617767365707,1.463233618190174,1.1574074074074074,1.9174805598438924
events_only,weekend,Ridge,95,216,1.2019027290321034,1.5577971450654022,0.9027777777777778,1.6874952637759055
events_only,weekend,Ridge,87,216,1.2013828578800723,1.467133406175742,0.7592592592592593,1.625594192694311
events_only,weekend,Ridge,98,216,1.1998244382732213,1.4391747614589432,0.6157407407407407,1.5446798425244355
events_only,weekend,Ridge,89,216,1.1972984877663846,1.3357321059847476,0.2824074074074074,1.3812344914674757
events_only,weekend,Ridge,88,216,1.1837282617651537,1.3896083728659647,0.8240740740740741,1.6849049085646146
events_only,weekend,Ridge,74,216,1.1822343334028897,1.4275779254763488,0.9861111111111112,1.8009412520822679
events_only,weekend,Ridge,104,216,1.1769940152822447,1.3287325418444698,0.16203703703703703,1.285951765432387
events_only,weekend,Ridge,75,216,1.1757211832594792,1.4143828682238115,0.8981481481481481,1.730567728119162
events_only,weekend,Ridge,99,216,1.1672859331703267,1.3279621990016908,0.4166666666666667,1.506734830886816
events_only,weekend,Ridge,105,216,1.1649254092017156,1.294517024113865,0.1527777777777778,1.2691710978939252
events_only,weekend,Ridge,93,216,1.1647052344119166,1.300956774456127,0.0787037037037037,1.234272916791393
events_only,weekend,Ridge,107,216,1.1639686428022007,1.416314911670422,0.7222222222222222,1.620042556033171
events_only,weekend,Ridge,113,216,1.1622299887656942,1.3027289092389085,0.3055555555555556,1.3430350156806015
events_only,weekend,Ridge,117,216,1.151960897370341,1.3273228490728541,0.47685185185185186,1.4294377657082247
events_only,weekend,Ridge,80,216,1.1505957197946333,1.3294398688192168,0.3888888888888889,1.4254230470057196
events_only,weekend,Ridge,108,216,1.14882114624878,1.3614256140049885,0.8194444444444444,1.6838575635694029
events_only,weekend,Ridge,102,216,1.1485801909464688,1.3728205910935174,0.6898148148148148,1.5977523052952103
events_only,weekend,Ridge,109,216,1.1483038904166882,1.3533346387865188,0.6018518518518519,1.5685558120084455
events_only,weekend,Ridge,114,216,1.1474481672483947,1.3567676146707348,0.6527777777777778,1.5914736633631676
events_only,weekend,Ridge,103,216,1.1469845045914444,1.2855917785778839,0.17592592592592593,1.2989618907494076
events_only,weekend,Ridge,101,216,1.1418708871200998,1.365507535550309,0.9444444444444444,1.715602218295092
events_only,weekend,Ridge,94,216,1.1262676016322903,1.2375351229382736,0.05555555555555555,1.1725058053558075
events_only,weekend,Ridge,116,216,1.1214150271903482,1.276994902156439,0.3425925925925926,1.3581780352257997
events_only,weekend,Ridge,106,216,1.119244680239978,1.3146530881518739,0.5277777777777778,1.4888106559770486
events_only,weekend,Ridge,97,216,1.1183653302540868,1.3775943931321601,0.8796296296296297,1.6576384090524985
events_only,weekend,Ridge,85,216,1.1139803053354074,1.337997607413014,0.6064814814814815,1.4923891577207187
events_only,weekend,Ridge,110,216,1.1020269342692341,1.2921245607966172,0.5740740740740741,1.5230354038038538
events_only,weekend,Ridge,83,216,1.0974661571861342,1.3260997179806835,0.875,1.6406500919402915
events_only,weekend,Ridge,84,216,1.0972048983185958,1.2762067219098923,0.5,1.4675217928767037
events_only,weekend,Ridge,96,216,1.0888531820961147,1.2617448485005902,0.3148148148148148,1.282490748775235
events_only,weekend,Ridge,82,216,1.0782559117340529,1.2486347298591207,0.375,1.366200969039465
full,weekday,BaselineMean,69,523,3.4310090675589024,5.280566002240408,4.089866156787763,2.1164515333388145
full,weekday,BaselineMean,5,523,3.157614864628,6.044627653607188,3.625239005736138,2.1164515333388145
full,weekday,BaselineMean,58,523,2.900170831231414,4.584637397694175,3.1510516252390057,2.1164515333388145
full,weekday,BaselineMean,34,523,2.8583389834291975,4.590003510221436,3.51434034416826,2.1164515333388145
full,weekday,BaselineMean,9,523,2.7469172799241157,4.172786244550676,3.4493307839388145,2.1164515333388145
full,weekday,BaselineMean,90,523,2.6960802823470673,4.340997287150968,2.8336520076481837,2.1164515333388145
full,weekday,BaselineMean,66,523,2.676984504143762,3.9265655344887582,3.0879541108986617,2.1164515333388145
full,weekday,BaselineMean,33,523,2.6381391453156446,4.311966396047814,3.5181644359464626,2.1164515333388145
full,weekday,BaselineMean,68,523,2.604955882091709,4.302877264560302,2.9923518164435947,2.1164515333388145
full,weekday,BaselineMean,49,523,2.4960223063112292,3.8317811091703606,2.797323135755258,2.1164515333388145
full,weekday,BaselineMean,65,523,2.460873957299895,3.6966672951675763,2.378585086042065,2.1164515333388145
full,weekday,BaselineMean,114,523,2.438427767880176,3.820323100570985,2.254302103250478,2.1164515333388145
full,weekday,BaselineMean,93,523,2.4131048478058323,3.434307061514951,0.8718929254302104,2.1164515333388145
full,weekday,BaselineMean,14,523,2.369014355514145,3.67509119978267,2.8891013384321225,2.1164515333388145
full,weekday,BaselineMean,19,523,2.3273169467191113,3.3701093135056723,2.5258126195028683,2.1164515333388145
full,weekday,BaselineMean,56,523,2.3028279509259897,3.3930291688993868,2.3938814531548758,2.1164515333388145
full,weekday,BaselineMean,32,523,2.265032354495163,3.2836652647550024,2.294455066921606,2.1164515333388145
